Tipo,Nome/Sigla,Endereco,Bairro,Computadores Disponiveis,Latitude,Longitude
Centro de Inclusão Digital,AP 05,"RUA QUINZE DE NOVEMBRO, 60",VILA DELTA,Não Informado,-19.923676,-44.0035337
Centro de Inclusão Digital,AP 01,"RUA CARAGUATATUBA, 64",VILA PIRATININGA A,Não Informado,-19.8129954,-43.993103
Centro de Inclusão Digital,AP 01,"RUA VILA REAL, 922",VILA REAL I,Não Informado,-19.875732,-43.9510254
Centro de Inclusão Digital,AP 03,"BECO GUAIAUNA, 180",VILA DELTA,Não Informado,-19.9241566,-44.0031973
Centro de Inclusão Digital,AP 01,"RUA DOUTOR BENEDITO XAVIER, 155A",VILA BOA UNIÃO I,Não Informado,-19.8627455,-43.9272915
Centro de Inclusão Digital,AP 01,"AVENIDA JOÃO XXIII, 649",VILA RICA SÃO JOSE,Não Informado,-19.8993318,-44.0008277
Centro de Inclusão Digital,AP 01,"RUA BELÉM, 653",VILA VERA CRUZ I,Não Informado,-19.9911359,-44.0261494
Centro de Inclusão Digital,AP 02,"BECO FELICIDADE, 40",VILA DELTA,Não Informado,-19.9314206,-43.9055606
Centro de Inclusão Digital,AP 03,"RUA RETIRO DAS CHÁCARAS, 76",VILA NOVA AMÉRICA,Não Informado,-19.796511,-43.9895198
Centro de Inclusão Digital,AP 02,"BECO VILA RICA, 15",VILA RICA SÃO JOSÉ,Não Informado,-19.9003715,-43.9962077
Centro de Inclusão Digital,AP 08,"RUA MIGUEL ARANHA DE AZEVEDO, 318",VILA BIQUINHAS,Não Informado,-19.8381718,-43.9438507
